step, arokato, population, wealth 
0,AR20401,470.672,442.3990041963139
0,AR38410,21.3,4.427198377160578
0,AR25234501,21.4,4.458151079994527
0,AR76254558000,12.866,2.0915326657923554
0,AUA18104,22.962,4.950690937341807
0,AR63422,13.1,2.148366237837661
0,AR38401,204.7,128.21487375155138
0,AR93401,34.5,9.071253543817202
0,AR53401,267.3,190.68211188640572
0,AKA03102,34.316,8.999382577085777
0,AUA25116,10.662,1.581534052805965
0,AR81401,175.2,101.72051189542917
0,AR68204501,15.3,2.7064177280037036
0,AR20258501,10.1,1.4591397375951474
0,AR76254501,16.8,3.110379037965963
0,AR63404,27.8,6.579294755827191
0,AR38415,11.4,1.7470851592862806
0,AUA18115,38.884,10.837895080155235
0,ABE04117,10.128,1.4651608907002025
0,AR63203501,14.8,2.5759108541915166
0,AR84401,27.5,6.473962169888939
0,AR68430,18.513,3.593659402696206
0,AR76228501,13.5,2.246666268727408
0,AKA14102,25.705,5.8555052707673685
0,AR63407,36.4,9.824249543147445
0,AKA03101,17.063,3.183083706314777
0,AR10440,17.9,3.4180960253859705
0,AUA25110,11.249,1.712774309460648
0,AR63435,32.7,8.376286211300426
0,AR76401,171.8,98.79810826019525
0,ABE04110,41.368,11.883620736057152
0,AR63413,63.4,22.426705891229293
0,AR42248501,11.9,1.8622756011339427
0,ABE02103,73.614,28.006602791477416
0,ABE02119,41.548,11.960617005077475
0,AKA10102,14.672,2.542842380777813
0,ABE02113,13.686,2.2928642778509105
0,AR63440,32.7,8.376286211300426
0,ABE02115,10.328,1.5084045971711644
0,AR25401,378.9,320.4071798639138
0,AKA14104,90.096,37.82509560757785
0,AR63428,25.0,5.618224837226018
0,ABE04114,30.602,7.589531564708659
0,ABE04105,14.27,2.439902142191469
0,AR54405,23.9,5.25448918674757
0,AR53427,19.4,3.8527423042030424
0,ABE04104,168.27,95.7936592673099
0,AR56256501,26.1,5.9898486149871095
0,AR63445,17.0,3.1656176500177002
0,AR01403,29.0,7.006150713668146
0,AR01405,150.909,81.46878456245051
0,AR76248551,11.412,1.7498214029289858
0,AR15420,25.9,5.9217018485897235
0,AR25405,140.075,72.92297104615747
0,AR15250501,11.7,1.8159104181900287
0,AR80404,11.3,1.7243377904603974
0,AR15256501,11.842,1.8487902824913263
0,AR42401,206.987,130.3514503049743
0,AR42415,77.9,30.466210433664138
0,AKA03107,23.013,4.96705586696035
0,AR68405,15.7,2.812334035963373
0,AR95402,11.6,1.7928719056794271
0,AR68425,33.8,8.798833864677041
0,AR80443,28.8,6.934398904670454
0,AR68401,197.7,121.74769550232561
0,AR25436,48.5,15.05567305654353
0,AR15415,42.0,12.154680012326619
0,AR53412,54.9,18.103912867514317
0,AR80423,35.923,9.633362368341437
0,AR32443,17.1,3.193356219149273
0,AR15258501,16.5,3.028121076042589
0,ABE04107,19.216,3.7985132335958376
0,AR68415,89.919,37.71461333170081
0,AKA03110,39.208,10.972497175974896
0,AR15244501,15.7,2.812334035963373
0,AR80425,17.8,3.3897304376781774
0,AKA10105,36.639,9.920353776522223
0,AR54401,152.962,83.12284867551053
0,AR36204551,10.376,1.5188442742140011
0,AR36450,83.3,33.66010782815886
0,AR01419,38.4,10.637839889737064
0,AR30401,85.6,35.05182407387706
0,AR42233501,11.659,1.8064529696291964
0,ABE07118,22.74,4.879661947627468
0,AR75418,33.9,8.837584090127875
0,AR25445505,21.2,4.39631643394692
0,ABE05112,20.389,4.148499355407236
0,ABE04113,10.156,1.4711901640535532
0,AR56405,56.9,19.093602102217282
0,AR15224501,11.2,1.7016883441939163
0,ABE02101,58.064,19.67749625495658
0,ABE06102,97.53,42.55966655080798
0,AR25445,122.8,59.95650148051831
0,AR70220501,28.7,6.898613881260549
0,AR08414,30.9,7.6997266491560925
0,ABE05103,18.283,3.527449809962172
0,AR36435,182.2,107.82439440110404
0,AKA10103,91.06,38.42867382787539
0,AR36401,901.6,1163.388642402878
0,AR56229501,25.2,5.685211274336384
0,AR56401,255.5,178.2966757142106
0,AR15401,218.3,141.08883921729281
0,AR42209501,12.7,2.0515187431756354
0,AR42256501,10.7,1.5899258166498547
0,AKA03106,52.909,17.13598299785629
0,AR54410,14.3,2.4475360163934154
0,ABE06101,15.777,2.8328754010962696
0,AR01401,344.438,278.0354460558221
0,AR80439,107.3,49.05368256773166
0,AR36424,27.9,6.614529232711783
0,AR15425,12.1,1.9090222300616895
0,AR75438,311.1,238.9664047468466
0,AR68420,40.9,11.684194878837912
0,AR102315519,12.977,2.1184299202705024
0,AR54204501,11.3,1.7243377904603974
0,AR56223551,11.72,1.820529677230973
0,AR36440,121.106,58.73036721516404
0,ABE06103,13.227,2.179420197665056
0,AR56251501,13.9,2.346396611496507
0,AR15222501,11.1,1.679137267620211
0,AR64425,27.6,6.509011109986204
0,AR15216501,19.4,3.8527423042030424
